,Gender,Ever_Married,Age,Graduated,Profession,Work_Experience,Spending_Score,Family_Size,Var_1
203,Male,Yes,37,Yes,Entertainment,7.0,Low,2.0,Cat_6
204,Male,No,22,No,Doctor,1.0,Low,3.0,Cat_2
205,Male,Yes,43,Yes,Artist,1.0,Low,2.0,Cat_6
206,Male,Yes,41,Yes,Artist,1.0,Low,2.0,Cat_4
207,Female,No,21,No,Engineer,0.0,Low,5.0,Cat_2
208,Male,No,38,Yes,Doctor,8.0,Low,1.0,Cat_2
209,Male,Yes,70,Yes,Lawyer,1.0,High,3.0,Cat_6
210,Female,No,31,No,Engineer,1.0,Low,4.0,Cat_6
211,Female,Yes,82,No,Lawyer,0.0,Average,2.0,Cat_6
212,Male,No,38,Yes,Artist,8.0,Low,3.0,Cat_2
213,Male,Yes,18,No,Executive,0.0,High,4.0,Cat_6
214,Male,Yes,50,Yes,Artist,6.0,Average,3.0,Cat_6
215,Female,Yes,72,No,Lawyer,1.0,High,3.0,Cat_6
216,Female,No,25,No,Homemaker,1.0,Low,7.0,Cat_4
217,Female,Yes,75,No,Entertainment,2.0,High,2.0,Cat_2
218,Male,No,72,Yes,Artist,1.0,Low,1.0,Cat_6
219,Female,Yes,72,Yes,Artist,0.0,Average,3.0,Cat_4
220,Male,Yes,36,Yes,Entertainment,6.0,Low,6.0,Cat_4
221,Male,Yes,40,Yes,Artist,1.0,Low,2.0,Cat_6
222,Female,No,28,Yes,Entertainment,0.0,Low,4.0,Cat_6
223,Female,No,28,Yes,Doctor,0.0,Low,3.0,Cat_6
224,Male,Yes,43,Yes,Artist,0.0,Low,2.0,Cat_4
225,Female,Yes,35,Yes,Artist,1.0,Average,2.0,Cat_6
226,Male,Yes,65,Yes,Lawyer,1.0,High,2.0,Cat_6
227,Male,Yes,52,Yes,Executive,7.0,High,4.0,Cat_4
228,Female,No,40,Yes,Artist,1.0,Low,1.0,Cat_6
229,Female,Yes,69,No,Engineer,9.0,Low,3.0,Cat_6
230,Female,No,22,No,Healthcare,3.0,Low,3.0,Cat_6
231,Male,Yes,47,Yes,Executive,1.0,Average,4.0,Cat_6
232,Male,Yes,29,Yes,Marketing,1.0,High,2.0,Cat_3
233,Male,Yes,46,Yes,Artist,1.0,Average,3.0,Cat_3
234,Male,No,32,Yes,Artist,1.0,Low,2.0,Cat_6
235,Female,No,38,Yes,Healthcare,0.0,Low,1.0,Cat_2
236,Male,Yes,59,Yes,Artist,0.0,Low,1.0,Cat_6
237,Female,No,26,Yes,Entertainment,1.0,Low,1.0,Cat_6
238,Male,No,26,Yes,Healthcare,1.0,Low,2.0,Cat_3
239,Male,No,28,No,Marketing,0.0,Low,1.0,Cat_3
240,Female,Yes,53,Yes,Engineer,1.0,Average,3.0,Cat_6
241,Male,No,27,No,Doctor,1.0,Low,3.0,Cat_6
242,Male,No,26,No,Engineer,0.0,Low,4.0,Cat_4
243,Female,No,31,No,Entertainment,0.0,Low,2.0,Cat_6
244,Male,Yes,39,Yes,Executive,1.0,High,3.0,Cat_3
245,Female,Yes,43,No,Engineer,1.0,Low,3.0,Cat_7
246,Male,Yes,25,No,Doctor,1.0,Low,2.0,Cat_1
247,Male,Yes,40,Yes,Artist,3.0,High,3.0,Cat_6
248,Female,Yes,40,Yes,Entertainment,7.0,Average,2.0,Cat_3
249,Male,No,27,Yes,Healthcare,1.0,Low,3.0,Cat_6
250,Female,No,19,No,Healthcare,1.0,Low,2.0,Cat_6
251,Female,Yes,86,Yes,Lawyer,0.0,High,2.0,Cat_6
252,Female,Yes,27,Yes,Artist,4.0,Average,2.0,Cat_3
253,Female,Yes,70,No,Doctor,0.0,Average,2.0,Cat_6
254,Female,Yes,53,No,Engineer,8.0,Average,4.0,Cat_4
255,Male,Yes,43,No,Executive,0.0,High,4.0,Cat_6
256,Male,Yes,36,No,Doctor,6.0,Low,3.0,Cat_6
257,Male,Yes,74,Yes,Lawyer,0.0,Low,2.0,Cat_6
258,Female,No,30,No,Homemaker,0.0,Low,4.0,Cat_6
259,Female,No,37,Yes,Artist,5.0,Low,2.0,Cat_6
260,Female,No,22,No,Marketing,0.0,Low,1.0,Cat_5
261,Male,No,19,No,Healthcare,0.0,Low,4.0,Cat_6
262,Male,Yes,70,Yes,Engineer,4.0,High,2.0,Cat_6
263,Male,Yes,89,Yes,Lawyer,13.0,Low,1.0,Cat_6
264,Male,No,25,Yes,Doctor,6.0,Low,1.0,Cat_2
265,Female,No,45,Yes,Artist,4.0,Low,1.0,Cat_3
266,Female,No,35,Yes,Artist,3.0,Low,1.0,Cat_4
267,Female,Yes,37,No,Engineer,7.0,Low,1.0,Cat_4
268,Female,Yes,39,No,Engineer,4.0,Average,2.0,Cat_6
269,Female,No,32,Yes,Healthcare,1.0,Low,5.0,Cat_4
270,Female,Yes,62,Yes,Artist,2.0,Average,3.0,Cat_6
271,Female,Yes,58,Yes,Engineer,0.0,Average,4.0,Cat_4
272,Male,No,25,No,Healthcare,0.0,Low,5.0,Cat_6
273,Female,Yes,56,Yes,Artist,0.0,Average,4.0,Cat_6
274,Female,No,36,Yes,Entertainment,10.0,Low,2.0,Cat_6
275,Female,No,30,No,Healthcare,8.0,Low,3.0,Cat_6
276,Male,No,19,No,Healthcare,1.0,Low,5.0,Cat_6
277,Male,No,27,Yes,Healthcare,0.0,Low,2.0,Cat_6
278,Female,No,38,Yes,Doctor,14.0,Low,1.0,Cat_6
279,Male,Yes,46,Yes,Artist,8.0,Average,2.0,Cat_6
280,Male,No,29,Yes,Artist,3.0,Low,1.0,Cat_6
281,Male,Yes,51,No,Entertainment,1.0,Average,4.0,Cat_7
282,Male,Yes,55,No,Artist,0.0,Low,1.0,Cat_6
283,Female,Yes,69,Yes,Engineer,1.0,Low,1.0,Cat_3
284,Female,No,26,No,Healthcare,1.0,Low,8.0,Cat_7
285,Female,Yes,83,Yes,Lawyer,0.0,Low,3.0,Cat_6
286,Female,No,39,Yes,Healthcare,9.0,Low,1.0,Cat_6
287,Male,Yes,35,Yes,Artist,9.0,Low,1.0,Cat_6
288,Male,Yes,19,No,Marketing,2.0,High,5.0,Cat_6
289,Female,No,29,No,Healthcare,1.0,Low,3.0,Cat_6
290,Female,No,26,No,Doctor,0.0,Low,1.0,Cat_6
291,Male,No,36,Yes,Engineer,8.0,Low,1.0,Cat_6
292,Female,No,22,No,Homemaker,0.0,Low,4.0,Cat_6
293,Male,No,19,No,Marketing,0.0,Low,5.0,Cat_6
294,Female,Yes,20,Yes,Lawyer,1.0,Average,3.0,Cat_3
295,Male,No,43,Yes,Healthcare,3.0,Low,3.0,Cat_6
296,Male,No,43,Yes,Entertainment,1.0,Low,2.0,Cat_4
297,Female,Yes,50,Yes,Engineer,4.0,High,3.0,Cat_6
298,Male,No,25,Yes,Entertainment,1.0,Low,2.0,Cat_6
299,Male,Yes,61,No,Artist,1.0,High,2.0,Cat_6
300,Female,Yes,28,Yes,Healthcare,0.0,Average,2.0,Cat_6
301,Male,No,38,Yes,Artist,1.0,Low,1.0,Cat_6
302,Male,No,25,No,Executive,12.0,Low,3.0,Cat_6
303,Female,No,18,No,Healthcare,9.0,Low,5.0,Cat_4
304,Male,Yes,43,Yes,Entertainment,1.0,Average,5.0,Cat_5
305,Female,No,27,Yes,Artist,8.0,Low,1.0,Cat_6
306,Female,No,60,Yes,Entertainment,1.0,Low,2.0,Cat_6
307,Male,Yes,75,Yes,Lawyer,2.0,Low,1.0,Cat_6
308,Male,No,23,No,Doctor,6.0,Low,4.0,Cat_2
309,Male,No,36,Yes,Artist,8.0,Low,1.0,Cat_6
310,Male,No,30,No,Doctor,1.0,Low,1.0,Cat_3
311,Male,Yes,56,No,Artist,1.0,Average,2.0,Cat_6
312,Female,Yes,52,Yes,Artist,2.0,Low,2.0,Cat_6
313,Male,Yes,39,Yes,Entertainment,0.0,Low,1.0,Cat_6
314,Female,No,35,No,Artist,5.0,Low,1.0,Cat_6
315,Male,Yes,33,No,Engineer,0.0,Average,2.0,Cat_6
316,Female,No,25,Yes,Artist,0.0,Low,6.0,Cat_6
317,Female,Yes,27,Yes,Artist,0.0,Average,2.0,Cat_4
318,Male,Yes,35,Yes,Artist,1.0,High,3.0,Cat_6
319,Female,Yes,41,Yes,Artist,1.0,Average,2.0,Cat_6
320,Female,Yes,46,No,Artist,8.0,Average,2.0,Cat_6
321,Female,No,26,Yes,Artist,9.0,Low,1.0,Cat_6
322,Male,Yes,43,Yes,Doctor,13.0,High,2.0,Cat_6
323,Female,Yes,30,Yes,Artist,8.0,Low,4.0,Cat_6
324,Female,Yes,70,Yes,Artist,1.0,Average,4.0,Cat_6
325,Female,Yes,89,No,Lawyer,3.0,High,1.0,Cat_6
326,Female,Yes,42,No,Homemaker,6.0,High,4.0,Cat_6
327,Female,Yes,37,Yes,Entertainment,6.0,Average,3.0,Cat_4
328,Male,Yes,29,No,Executive,1.0,Average,3.0,Cat_6
329,Female,Yes,68,Yes,Artist,1.0,High,2.0,Cat_6
330,Female,No,25,No,Engineer,1.0,Low,1.0,Cat_4
331,Female,Yes,48,Yes,Doctor,0.0,Low,2.0,Cat_6
332,Female,Yes,51,Yes,Doctor,1.0,Average,3.0,Cat_1
333,Female,Yes,40,Yes,Engineer,1.0,High,5.0,Cat_2
334,Male,Yes,47,Yes,Artist,0.0,Average,6.0,Cat_7
335,Male,Yes,35,Yes,Executive,1.0,Average,4.0,Cat_6
336,Female,No,19,No,Healthcare,2.0,Low,3.0,Cat_6
337,Male,Yes,46,Yes,Entertainment,0.0,Average,3.0,Cat_4
338,Male,Yes,86,Yes,Lawyer,0.0,Low,1.0,Cat_6
339,Male,Yes,66,Yes,Artist,0.0,High,2.0,Cat_6
340,Male,No,42,No,Marketing,1.0,Low,5.0,Cat_4
341,Female,Yes,73,Yes,Lawyer,1.0,High,2.0,Cat_6
342,Male,Yes,72,No,Engineer,1.0,Low,1.0,Cat_6
343,Male,Yes,53,Yes,Artist,0.0,Low,3.0,Cat_6
344,Female,Yes,39,Yes,Artist,8.0,Average,2.0,Cat_6
345,Female,No,27,No,Homemaker,9.0,Low,1.0,Cat_6
346,Female,No,23,No,Healthcare,1.0,Low,3.0,Cat_4
347,Female,No,30,Yes,Entertainment,0.0,Low,4.0,Cat_6
348,Female,Yes,39,Yes,Artist,5.0,Average,2.0,Cat_6
349,Male,Yes,26,Yes,Artist,1.0,Average,3.0,Cat_6
350,Female,Yes,50,Yes,Entertainment,7.0,Low,3.0,Cat_6
351,Female,Yes,45,Yes,Artist,1.0,Average,2.0,Cat_6
352,Female,No,62,No,Entertainment,2.0,Low,1.0,Cat_6
353,Female,No,27,Yes,Doctor,1.0,Low,3.0,Cat_6
354,Female,Yes,30,No,Engineer,1.0,Average,7.0,Cat_4
355,Male,No,32,No,Healthcare,7.0,Low,4.0,Cat_3
356,Male,No,47,No,Artist,3.0,Low,3.0,Cat_5
357,Female,No,32,Yes,Artist,4.0,Low,4.0,Cat_2
358,Female,Yes,32,No,Engineer,5.0,Low,3.0,Cat_1
359,Male,Yes,67,Yes,Doctor,1.0,Average,4.0,Cat_6
360,Female,Yes,77,Yes,Lawyer,0.0,High,2.0,Cat_6
361,Male,No,31,No,Entertainment,1.0,Low,1.0,Cat_4
362,Male,Yes,42,Yes,Artist,0.0,Low,3.0,Cat_4
363,Male,Yes,50,Yes,Artist,1.0,Average,4.0,Cat_2
364,Male,Yes,71,Yes,Artist,0.0,Average,5.0,Cat_6
365,Female,Yes,72,No,Lawyer,1.0,Low,3.0,Cat_6
366,Male,Yes,45,Yes,Artist,9.0,Average,2.0,Cat_6
367,Female,No,40,No,Engineer,9.0,Low,5.0,Cat_4
368,Female,No,36,Yes,Engineer,4.0,Low,1.0,Cat_6
369,Male,No,30,No,Healthcare,4.0,Low,4.0,Cat_6
370,Female,No,29,Yes,Healthcare,2.0,Low,4.0,Cat_4
371,Male,No,28,Yes,Engineer,0.0,Low,5.0,Cat_4
372,Female,Yes,40,Yes,Artist,1.0,Average,2.0,Cat_6
373,Female,Yes,52,Yes,Artist,14.0,Average,2.0,Cat_6
374,Male,No,26,No,Artist,6.0,Low,6.0,Cat_5
375,Female,No,55,Yes,Marketing,3.0,Low,1.0,Cat_6
376,Female,No,20,No,Doctor,4.0,Low,4.0,Cat_6
377,Female,Yes,87,Yes,Lawyer,0.0,High,2.0,Cat_6
378,Male,No,28,No,Healthcare,0.0,Low,2.0,Cat_4
379,Male,No,38,No,Artist,2.0,Low,2.0,Cat_3
380,Male,Yes,42,No,Entertainment,1.0,Low,2.0,Cat_4
381,Male,Yes,42,No,Marketing,0.0,High,6.0,Cat_4
382,Female,No,29,No,Engineer,1.0,Low,4.0,Cat_6
383,Male,No,32,Yes,Doctor,0.0,Low,4.0,Cat_6
384,Female,Yes,59,No,Artist,1.0,High,2.0,Cat_6
385,Male,No,22,No,Healthcare,0.0,Low,2.0,Cat_3
386,Female,Yes,78,Yes,Artist,1.0,High,2.0,Cat_6
387,Female,No,32,Yes,Healthcare,0.0,Low,3.0,Cat_4
388,Male,Yes,37,Yes,Artist,0.0,Average,4.0,Cat_7
389,Male,Yes,37,Yes,Healthcare,1.0,High,4.0,Cat_6
390,Male,Yes,47,No,Artist,0.0,High,4.0,Cat_6
391,Female,Yes,68,Yes,Lawyer,0.0,High,2.0,Cat_6
392,Male,No,30,Yes,Healthcare,3.0,Low,5.0,Cat_1
393,Female,Yes,48,Yes,Entertainment,2.0,Low,1.0,Cat_1
