,Gender,Ever_Married,Age,Graduated,Profession,Work_Experience,Spending_Score,Family_Size,Var_1,Clusters
114,Male,No,30,No,Executive,5.0,Low,5.0,Cat_6,0
115,Female,No,39,Yes,Artist,3.0,Low,4.0,Cat_6,1
116,Female,No,29,No,Marketing,8.0,Low,4.0,Cat_6,0
117,Female,Yes,37,Yes,Artist,4.0,Low,4.0,Cat_5,0
118,Female,Yes,39,Yes,Engineer,0.0,Average,2.0,Cat_6,1
119,Female,Yes,48,Yes,Artist,0.0,Average,5.0,Cat_7,1
120,Female,No,32,Yes,Doctor,0.0,Low,3.0,Cat_6,0
121,Female,Yes,43,No,Engineer,0.0,Average,5.0,Cat_4,1
122,Male,No,29,No,Marketing,8.0,Low,5.0,Cat_6,0
123,Female,Yes,28,No,Engineer,9.0,Average,2.0,Cat_4,0
124,Male,Yes,80,Yes,Lawyer,1.0,Low,1.0,Cat_6,2
125,Female,No,28,Yes,Healthcare,7.0,Low,4.0,Cat_6,0
126,Male,Yes,71,Yes,Artist,6.0,Average,3.0,Cat_6,2
127,Male,Yes,67,No,Lawyer,0.0,High,9.0,Cat_4,2
128,Female,No,26,No,Engineer,0.0,Low,1.0,Cat_2,0
129,Female,Yes,47,Yes,Engineer,0.0,Average,2.0,Cat_6,1
130,Female,Yes,43,Yes,Artist,2.0,Average,2.0,Cat_6,1
131,Female,No,27,Yes,Healthcare,0.0,Low,4.0,Cat_6,0
132,Female,Yes,45,Yes,Marketing,8.0,Low,4.0,Cat_6,1
133,Male,Yes,76,No,Executive,1.0,Low,1.0,Cat_6,2
134,Female,Yes,43,Yes,Artist,3.0,Average,4.0,Cat_6,1
135,Female,Yes,78,Yes,Lawyer,1.0,High,2.0,Cat_6,2
136,Male,Yes,35,Yes,Artist,3.0,Average,3.0,Cat_6,0
137,Female,No,49,Yes,Artist,1.0,Low,1.0,Cat_6,1
138,Female,No,25,Yes,Healthcare,1.0,Low,5.0,Cat_6,0
139,Male,Yes,37,No,Executive,0.0,Average,5.0,Cat_6,0
140,Male,Yes,60,Yes,Doctor,0.0,Average,2.0,Cat_6,2
141,Female,Yes,45,Yes,Artist,5.0,Average,3.0,Cat_6,1
142,Female,Yes,49,Yes,Homemaker,9.0,Average,3.0,Cat_6,1
143,Male,No,32,Yes,Artist,0.0,Low,5.0,Cat_6,0
144,Female,Yes,40,Yes,Artist,0.0,Low,3.0,Cat_3,1
145,Male,Yes,59,No,Artist,2.0,Average,2.0,Cat_4,2
146,Male,Yes,48,Yes,Artist,3.0,Low,5.0,Cat_6,1
147,Male,Yes,82,Yes,Executive,0.0,High,2.0,Cat_6,2
148,Female,Yes,70,Yes,Lawyer,0.0,Low,2.0,Cat_6,2
149,Male,No,31,Yes,Artist,5.0,Low,2.0,Cat_6,0
150,Female,Yes,72,Yes,Lawyer,0.0,High,2.0,Cat_6,2
151,Male,Yes,50,Yes,Artist,3.0,Average,4.0,Cat_6,1
152,Female,No,23,No,Engineer,11.0,Low,1.0,Cat_3,0
153,Female,No,20,No,Healthcare,2.0,Low,6.0,Cat_6,0
154,Female,No,22,No,Healthcare,4.0,Low,3.0,Cat_6,0
155,Female,No,31,Yes,Engineer,8.0,Low,1.0,Cat_6,0
156,Female,Yes,36,Yes,Artist,7.0,Average,2.0,Cat_6,0
157,Male,Yes,40,Yes,Artist,4.0,Average,4.0,Cat_6,1
158,Female,No,40,Yes,Artist,1.0,Low,1.0,Cat_6,1
159,Female,No,21,No,Doctor,1.0,Low,3.0,Cat_7,0
160,Female,Yes,41,No,Engineer,4.0,Average,2.0,Cat_6,1
161,Male,Yes,40,Yes,Artist,0.0,Low,2.0,Cat_6,1
162,Male,Yes,53,Yes,Artist,1.0,Average,3.0,Cat_6,1
163,Female,Yes,42,Yes,Artist,5.0,Low,2.0,Cat_6,1
164,Male,Yes,42,No,Executive,8.0,Low,2.0,Cat_6,1
165,Male,Yes,59,Yes,Artist,7.0,Low,2.0,Cat_6,2
166,Male,Yes,41,Yes,Executive,1.0,Average,3.0,Cat_6,1
167,Female,Yes,31,Yes,Artist,0.0,Average,2.0,Cat_6,0
168,Female,Yes,49,Yes,Artist,1.0,High,5.0,Cat_6,1
169,Male,Yes,67,Yes,Executive,1.0,Low,2.0,Cat_6,2
170,Male,Yes,35,No,Artist,4.0,Average,2.0,Cat_6,0
171,Female,No,26,Yes,Healthcare,0.0,Low,3.0,Cat_6,0
172,Female,Yes,25,No,Engineer,6.0,Average,8.0,Cat_4,0
173,Female,Yes,39,Yes,Healthcare,4.0,Low,2.0,Cat_6,1
174,Male,Yes,63,Yes,Entertainment,0.0,Low,2.0,Cat_6,2
175,Male,No,23,No,Healthcare,8.0,Low,3.0,Cat_6,0
176,Female,No,23,No,Healthcare,0.0,Low,3.0,Cat_3,0
177,Female,Yes,53,Yes,Artist,2.0,Low,1.0,Cat_6,1
178,Male,No,33,Yes,Doctor,0.0,Low,2.0,Cat_6,0
179,Female,Yes,69,Yes,Engineer,0.0,Low,2.0,Cat_4,2
180,Male,No,37,Yes,Artist,2.0,Low,1.0,Cat_6,0
181,Female,No,20,No,Marketing,3.0,Low,4.0,Cat_7,0
182,Female,Yes,49,Yes,Doctor,1.0,Average,4.0,Cat_6,1
183,Male,No,18,No,Healthcare,0.0,Low,3.0,Cat_3,0
184,Female,Yes,52,Yes,Doctor,0.0,Average,2.0,Cat_6,1
185,Male,Yes,28,Yes,Engineer,0.0,Average,2.0,Cat_6,0
186,Female,No,28,Yes,Artist,7.0,Low,3.0,Cat_6,0
187,Male,No,20,No,Healthcare,0.0,Low,5.0,Cat_7,0
188,Female,No,27,No,Homemaker,8.0,Low,1.0,Cat_3,0
189,Male,Yes,45,Yes,Artist,4.0,Average,4.0,Cat_6,1
190,Male,No,25,Yes,Healthcare,1.0,Low,4.0,Cat_4,0
191,Male,No,40,No,Marketing,1.0,Low,1.0,Cat_4,1
192,Female,Yes,67,Yes,Lawyer,0.0,High,2.0,Cat_6,2
193,Female,No,38,Yes,Artist,9.0,Low,1.0,Cat_3,1
194,Male,No,28,No,Healthcare,0.0,Low,4.0,Cat_2,0
195,Female,No,32,No,Healthcare,1.0,Low,5.0,Cat_7,0
196,Female,Yes,56,No,Lawyer,1.0,High,4.0,Cat_4,1
197,Female,Yes,53,Yes,Artist,1.0,Low,2.0,Cat_6,1
198,Male,Yes,57,No,Executive,1.0,High,5.0,Cat_6,1
199,Female,Yes,59,Yes,Artist,0.0,Average,3.0,Cat_6,2
200,Female,Yes,25,Yes,Healthcare,1.0,High,4.0,Cat_4,0
201,Male,Yes,59,Yes,Artist,0.0,Average,6.0,Cat_6,2
202,Female,Yes,36,Yes,Artist,0.0,Low,4.0,Cat_6,0
203,Male,Yes,37,Yes,Entertainment,7.0,Low,2.0,Cat_6,0
204,Male,No,22,No,Doctor,1.0,Low,3.0,Cat_2,0
205,Male,Yes,43,Yes,Artist,1.0,Low,2.0,Cat_6,1
206,Male,Yes,41,Yes,Artist,1.0,Low,2.0,Cat_4,1
207,Female,No,21,No,Engineer,0.0,Low,5.0,Cat_2,0
208,Male,No,38,Yes,Doctor,8.0,Low,1.0,Cat_2,1
209,Male,Yes,70,Yes,Lawyer,1.0,High,3.0,Cat_6,2
210,Female,No,31,No,Engineer,1.0,Low,4.0,Cat_6,0
211,Female,Yes,82,No,Lawyer,0.0,Average,2.0,Cat_6,2
212,Male,No,38,Yes,Artist,8.0,Low,3.0,Cat_2,1
213,Male,Yes,18,No,Executive,0.0,High,4.0,Cat_6,0
214,Male,Yes,50,Yes,Artist,6.0,Average,3.0,Cat_6,1
215,Female,Yes,72,No,Lawyer,1.0,High,3.0,Cat_6,2
216,Female,No,25,No,Homemaker,1.0,Low,7.0,Cat_4,0
217,Female,Yes,75,No,Entertainment,2.0,High,2.0,Cat_2,2
218,Male,No,72,Yes,Artist,1.0,Low,1.0,Cat_6,2
219,Female,Yes,72,Yes,Artist,0.0,Average,3.0,Cat_4,2
220,Male,Yes,36,Yes,Entertainment,6.0,Low,6.0,Cat_4,0
221,Male,Yes,40,Yes,Artist,1.0,Low,2.0,Cat_6,1
222,Female,No,28,Yes,Entertainment,0.0,Low,4.0,Cat_6,0
223,Female,No,28,Yes,Doctor,0.0,Low,3.0,Cat_6,0
224,Male,Yes,43,Yes,Artist,0.0,Low,2.0,Cat_4,1
225,Female,Yes,35,Yes,Artist,1.0,Average,2.0,Cat_6,0
226,Male,Yes,65,Yes,Lawyer,1.0,High,2.0,Cat_6,2
227,Male,Yes,52,Yes,Executive,7.0,High,4.0,Cat_4,1
228,Female,No,40,Yes,Artist,1.0,Low,1.0,Cat_6,1
229,Female,Yes,69,No,Engineer,9.0,Low,3.0,Cat_6,2
230,Female,No,22,No,Healthcare,3.0,Low,3.0,Cat_6,0
231,Male,Yes,47,Yes,Executive,1.0,Average,4.0,Cat_6,1
232,Male,Yes,29,Yes,Marketing,1.0,High,2.0,Cat_3,0
233,Male,Yes,46,Yes,Artist,1.0,Average,3.0,Cat_3,1
234,Male,No,32,Yes,Artist,1.0,Low,2.0,Cat_6,0
235,Female,No,38,Yes,Healthcare,0.0,Low,1.0,Cat_2,1
236,Male,Yes,59,Yes,Artist,0.0,Low,1.0,Cat_6,2
237,Female,No,26,Yes,Entertainment,1.0,Low,1.0,Cat_6,0
238,Male,No,26,Yes,Healthcare,1.0,Low,2.0,Cat_3,0
239,Male,No,28,No,Marketing,0.0,Low,1.0,Cat_3,0
240,Female,Yes,53,Yes,Engineer,1.0,Average,3.0,Cat_6,1
241,Male,No,27,No,Doctor,1.0,Low,3.0,Cat_6,0
242,Male,No,26,No,Engineer,0.0,Low,4.0,Cat_4,0
243,Female,No,31,No,Entertainment,0.0,Low,2.0,Cat_6,0
244,Male,Yes,39,Yes,Executive,1.0,High,3.0,Cat_3,1
245,Female,Yes,43,No,Engineer,1.0,Low,3.0,Cat_7,1
246,Male,Yes,25,No,Doctor,1.0,Low,2.0,Cat_1,0
247,Male,Yes,40,Yes,Artist,3.0,High,3.0,Cat_6,1
248,Female,Yes,40,Yes,Entertainment,7.0,Average,2.0,Cat_3,1
249,Male,No,27,Yes,Healthcare,1.0,Low,3.0,Cat_6,0
250,Female,No,19,No,Healthcare,1.0,Low,2.0,Cat_6,0
251,Female,Yes,86,Yes,Lawyer,0.0,High,2.0,Cat_6,2
252,Female,Yes,27,Yes,Artist,4.0,Average,2.0,Cat_3,0
253,Female,Yes,70,No,Doctor,0.0,Average,2.0,Cat_6,2
254,Female,Yes,53,No,Engineer,8.0,Average,4.0,Cat_4,1
255,Male,Yes,43,No,Executive,0.0,High,4.0,Cat_6,1
256,Male,Yes,36,No,Doctor,6.0,Low,3.0,Cat_6,0
257,Male,Yes,74,Yes,Lawyer,0.0,Low,2.0,Cat_6,2
258,Female,No,30,No,Homemaker,0.0,Low,4.0,Cat_6,0
259,Female,No,37,Yes,Artist,5.0,Low,2.0,Cat_6,0
260,Female,No,22,No,Marketing,0.0,Low,1.0,Cat_5,0
261,Male,No,19,No,Healthcare,0.0,Low,4.0,Cat_6,0
262,Male,Yes,70,Yes,Engineer,4.0,High,2.0,Cat_6,2
263,Male,Yes,89,Yes,Lawyer,13.0,Low,1.0,Cat_6,2
264,Male,No,25,Yes,Doctor,6.0,Low,1.0,Cat_2,0
265,Female,No,45,Yes,Artist,4.0,Low,1.0,Cat_3,1
266,Female,No,35,Yes,Artist,3.0,Low,1.0,Cat_4,0
267,Female,Yes,37,No,Engineer,7.0,Low,1.0,Cat_4,0
268,Female,Yes,39,No,Engineer,4.0,Average,2.0,Cat_6,1
269,Female,No,32,Yes,Healthcare,1.0,Low,5.0,Cat_4,0
270,Female,Yes,62,Yes,Artist,2.0,Average,3.0,Cat_6,2
271,Female,Yes,58,Yes,Engineer,0.0,Average,4.0,Cat_4,1
272,Male,No,25,No,Healthcare,0.0,Low,5.0,Cat_6,0
273,Female,Yes,56,Yes,Artist,0.0,Average,4.0,Cat_6,1
274,Female,No,36,Yes,Entertainment,10.0,Low,2.0,Cat_6,0
275,Female,No,30,No,Healthcare,8.0,Low,3.0,Cat_6,0
276,Male,No,19,No,Healthcare,1.0,Low,5.0,Cat_6,0
277,Male,No,27,Yes,Healthcare,0.0,Low,2.0,Cat_6,0
278,Female,No,38,Yes,Doctor,14.0,Low,1.0,Cat_6,1
279,Male,Yes,46,Yes,Artist,8.0,Average,2.0,Cat_6,1
280,Male,No,29,Yes,Artist,3.0,Low,1.0,Cat_6,0
281,Male,Yes,51,No,Entertainment,1.0,Average,4.0,Cat_7,1
282,Male,Yes,55,No,Artist,0.0,Low,1.0,Cat_6,1
283,Female,Yes,69,Yes,Engineer,1.0,Low,1.0,Cat_3,2
284,Female,No,26,No,Healthcare,1.0,Low,8.0,Cat_7,0
285,Female,Yes,83,Yes,Lawyer,0.0,Low,3.0,Cat_6,2
286,Female,No,39,Yes,Healthcare,9.0,Low,1.0,Cat_6,1
287,Male,Yes,35,Yes,Artist,9.0,Low,1.0,Cat_6,0
288,Male,Yes,19,No,Marketing,2.0,High,5.0,Cat_6,0
289,Female,No,29,No,Healthcare,1.0,Low,3.0,Cat_6,0
290,Female,No,26,No,Doctor,0.0,Low,1.0,Cat_6,0
291,Male,No,36,Yes,Engineer,8.0,Low,1.0,Cat_6,0
292,Female,No,22,No,Homemaker,0.0,Low,4.0,Cat_6,0
293,Male,No,19,No,Marketing,0.0,Low,5.0,Cat_6,0
294,Female,Yes,20,Yes,Lawyer,1.0,Average,3.0,Cat_3,0
295,Male,No,43,Yes,Healthcare,3.0,Low,3.0,Cat_6,1
296,Male,No,43,Yes,Entertainment,1.0,Low,2.0,Cat_4,1
297,Female,Yes,50,Yes,Engineer,4.0,High,3.0,Cat_6,1
298,Male,No,25,Yes,Entertainment,1.0,Low,2.0,Cat_6,0
299,Male,Yes,61,No,Artist,1.0,High,2.0,Cat_6,2
300,Female,Yes,28,Yes,Healthcare,0.0,Average,2.0,Cat_6,0
301,Male,No,38,Yes,Artist,1.0,Low,1.0,Cat_6,1
302,Male,No,25,No,Executive,12.0,Low,3.0,Cat_6,0
303,Female,No,18,No,Healthcare,9.0,Low,5.0,Cat_4,0
304,Male,Yes,43,Yes,Entertainment,1.0,Average,5.0,Cat_5,1
305,Female,No,27,Yes,Artist,8.0,Low,1.0,Cat_6,0
306,Female,No,60,Yes,Entertainment,1.0,Low,2.0,Cat_6,2
307,Male,Yes,75,Yes,Lawyer,2.0,Low,1.0,Cat_6,2
308,Male,No,23,No,Doctor,6.0,Low,4.0,Cat_2,0
309,Male,No,36,Yes,Artist,8.0,Low,1.0,Cat_6,0
310,Male,No,30,No,Doctor,1.0,Low,1.0,Cat_3,0
311,Male,Yes,56,No,Artist,1.0,Average,2.0,Cat_6,1
312,Female,Yes,52,Yes,Artist,2.0,Low,2.0,Cat_6,1
313,Male,Yes,39,Yes,Entertainment,0.0,Low,1.0,Cat_6,1
314,Female,No,35,No,Artist,5.0,Low,1.0,Cat_6,0
315,Male,Yes,33,No,Engineer,0.0,Average,2.0,Cat_6,0
316,Female,No,25,Yes,Artist,0.0,Low,6.0,Cat_6,0
317,Female,Yes,27,Yes,Artist,0.0,Average,2.0,Cat_4,0
318,Male,Yes,35,Yes,Artist,1.0,High,3.0,Cat_6,0
319,Female,Yes,41,Yes,Artist,1.0,Average,2.0,Cat_6,1
320,Female,Yes,46,No,Artist,8.0,Average,2.0,Cat_6,1
321,Female,No,26,Yes,Artist,9.0,Low,1.0,Cat_6,0
322,Male,Yes,43,Yes,Doctor,13.0,High,2.0,Cat_6,1
323,Female,Yes,30,Yes,Artist,8.0,Low,4.0,Cat_6,0
324,Female,Yes,70,Yes,Artist,1.0,Average,4.0,Cat_6,2
325,Female,Yes,89,No,Lawyer,3.0,High,1.0,Cat_6,2
326,Female,Yes,42,No,Homemaker,6.0,High,4.0,Cat_6,1
327,Female,Yes,37,Yes,Entertainment,6.0,Average,3.0,Cat_4,0
328,Male,Yes,29,No,Executive,1.0,Average,3.0,Cat_6,0
329,Female,Yes,68,Yes,Artist,1.0,High,2.0,Cat_6,2
330,Female,No,25,No,Engineer,1.0,Low,1.0,Cat_4,0
331,Female,Yes,48,Yes,Doctor,0.0,Low,2.0,Cat_6,1
332,Female,Yes,51,Yes,Doctor,1.0,Average,3.0,Cat_1,1
333,Female,Yes,40,Yes,Engineer,1.0,High,5.0,Cat_2,1
334,Male,Yes,47,Yes,Artist,0.0,Average,6.0,Cat_7,1
335,Male,Yes,35,Yes,Executive,1.0,Average,4.0,Cat_6,0
336,Female,No,19,No,Healthcare,2.0,Low,3.0,Cat_6,0
337,Male,Yes,46,Yes,Entertainment,0.0,Average,3.0,Cat_4,1
338,Male,Yes,86,Yes,Lawyer,0.0,Low,1.0,Cat_6,2
339,Male,Yes,66,Yes,Artist,0.0,High,2.0,Cat_6,2
340,Male,No,42,No,Marketing,1.0,Low,5.0,Cat_4,1
341,Female,Yes,73,Yes,Lawyer,1.0,High,2.0,Cat_6,2
342,Male,Yes,72,No,Engineer,1.0,Low,1.0,Cat_6,2
343,Male,Yes,53,Yes,Artist,0.0,Low,3.0,Cat_6,1
344,Female,Yes,39,Yes,Artist,8.0,Average,2.0,Cat_6,1
345,Female,No,27,No,Homemaker,9.0,Low,1.0,Cat_6,0
346,Female,No,23,No,Healthcare,1.0,Low,3.0,Cat_4,0
347,Female,No,30,Yes,Entertainment,0.0,Low,4.0,Cat_6,0
348,Female,Yes,39,Yes,Artist,5.0,Average,2.0,Cat_6,1
349,Male,Yes,26,Yes,Artist,1.0,Average,3.0,Cat_6,0
350,Female,Yes,50,Yes,Entertainment,7.0,Low,3.0,Cat_6,1
351,Female,Yes,45,Yes,Artist,1.0,Average,2.0,Cat_6,1
352,Female,No,62,No,Entertainment,2.0,Low,1.0,Cat_6,2
353,Female,No,27,Yes,Doctor,1.0,Low,3.0,Cat_6,0
354,Female,Yes,30,No,Engineer,1.0,Average,7.0,Cat_4,0
355,Male,No,32,No,Healthcare,7.0,Low,4.0,Cat_3,0
356,Male,No,47,No,Artist,3.0,Low,3.0,Cat_5,1
357,Female,No,32,Yes,Artist,4.0,Low,4.0,Cat_2,0
358,Female,Yes,32,No,Engineer,5.0,Low,3.0,Cat_1,0
359,Male,Yes,67,Yes,Doctor,1.0,Average,4.0,Cat_6,2
360,Female,Yes,77,Yes,Lawyer,0.0,High,2.0,Cat_6,2
361,Male,No,31,No,Entertainment,1.0,Low,1.0,Cat_4,0
362,Male,Yes,42,Yes,Artist,0.0,Low,3.0,Cat_4,1
363,Male,Yes,50,Yes,Artist,1.0,Average,4.0,Cat_2,1
364,Male,Yes,71,Yes,Artist,0.0,Average,5.0,Cat_6,2
365,Female,Yes,72,No,Lawyer,1.0,Low,3.0,Cat_6,2
366,Male,Yes,45,Yes,Artist,9.0,Average,2.0,Cat_6,1
367,Female,No,40,No,Engineer,9.0,Low,5.0,Cat_4,1
368,Female,No,36,Yes,Engineer,4.0,Low,1.0,Cat_6,0
369,Male,No,30,No,Healthcare,4.0,Low,4.0,Cat_6,0
370,Female,No,29,Yes,Healthcare,2.0,Low,4.0,Cat_4,0
371,Male,No,28,Yes,Engineer,0.0,Low,5.0,Cat_4,0
